filename,size_mb,disk_type,time_seconds
testfile_01.dat,96.46132373809814,VMDK,0.13286972045898438
testfile_02.dat,93.94302082061768,VMDK,0.12687468528747559
testfile_03.dat,225.9543972015381,VMDK,0.6617236137390137
testfile_04.dat,192.20265769958496,VMDK,0.2698640823364258
testfile_05.dat,163.20814037322998,VMDK,0.40245866775512695
testfile_06.dat,145.59212017059326,VMDK,0.3307154178619385
testfile_07.dat,203.25012397766113,VMDK,0.36743950843811035
testfile_08.dat,195.02864456176758,VMDK,0.3862650394439697
testfile_09.dat,152.82951736450195,VMDK,0.2475590705871582
testfile_10.dat,74.78470611572266,VMDK,0.11440515518188477
testfile_11.dat,40.07669544219971,VMDK,0.07555270195007324
testfile_12.dat,155.71042156219482,VMDK,0.45528674125671387
testfile_13.dat,227.26813220977783,VMDK,0.4617118835449219
testfile_14.dat,245.50645637512207,VMDK,0.5106029510498047
testfile_15.dat,128.6926794052124,VMDK,0.24967217445373535
testfile_16.dat,112.22576236724854,VMDK,0.19675183296203613
testfile_17.dat,91.14315795898438,VMDK,0.21643686294555664
testfile_18.dat,88.98638153076172,VMDK,0.23225951194763184
testfile_19.dat,101.7352933883667,VMDK,0.29387640953063965
testfile_20.dat,197.1591091156006,VMDK,0.452467679977417
testfile_21.dat,213.9148817062378,VMDK,0.4513390064239502
testfile_22.dat,70.58118343353271,VMDK,0.158921480178833
testfile_23.dat,203.56045246124268,VMDK,0.4416842460632324
testfile_24.dat,128.983323097229,VMDK,0.5128734111785889
testfile_25.dat,84.0492696762085,VMDK,0.18836069107055664
testfile_26.dat,56.2665958404541,VMDK,0.1288595199584961
testfile_27.dat,191.05257987976074,VMDK,0.6056623458862305
testfile_28.dat,214.32921695709229,VMDK,0.6463949680328369
testfile_29.dat,55.43635654449463,VMDK,0.1250748634338379
testfile_30.dat,131.83966445922852,VMDK,0.2996363639831543
testfile_31.dat,95.4024248123169,VMDK,0.5123691558837891
testfile_32.dat,246.614333152771,VMDK,0.6411511898040771
testfile_33.dat,200.08431148529053,VMDK,0.49935269355773926
testfile_34.dat,232.305082321167,VMDK,0.6172499656677246
testfile_35.dat,149.6558609008789,VMDK,0.41068077087402344
testfile_36.dat,101.8629789352417,VMDK,0.25720882415771484
testfile_37.dat,136.67963409423828,VMDK,0.47211170196533203
testfile_38.dat,49.29786682128906,VMDK,0.1524503231048584
testfile_39.dat,187.36213779449463,VMDK,0.6458008289337158
testfile_40.dat,49.9696741104126,VMDK,0.17504072189331055
testfile_41.dat,194.35960578918457,VMDK,0.5199055671691895
testfile_42.dat,144.87604904174805,VMDK,0.4021308422088623
testfile_43.dat,53.255696296691895,VMDK,0.15189290046691895
testfile_44.dat,245.71236896514893,VMDK,1.055985450744629
testfile_45.dat,78.96041774749756,VMDK,0.17983603477478027
testfile_46.dat,108.87515640258789,VMDK,0.4449024200439453
testfile_47.dat,83.2093734741211,VMDK,0.17051434516906738
testfile_48.dat,148.31424617767334,VMDK,0.5015172958374023
testfile_49.dat,234.95944213867188,VMDK,0.7152142524719238
testfile_50.dat,116.62674903869629,VMDK,0.30338144302368164
